,LocalVenda,marca,price,data,idade,titulo,link
0,KBM,," 357,03",05/03/24,,"Placa-Mãe PCWare, Intel 1151, mATX, DDR4, VGA, HDMI - IPMH310G",/produto/127359/placa-mae-pcware-intel-1151-matx-ddr4-vga-hdmi-ipmh310g
1,KBM,," 579,90",05/03/24,,"Placa-Mãe PCWare, Intel LGA 1200, mATX, DDR4 - IPMH510G",/produto/214819/placa-mae-pcware-intel-lga-1200-matx-ddr4-ipmh510g
2,KBM,," 445,40",05/03/24,,"Placa-Mãe PCWare PRO R.2, Intel LGA 1151, DDR4 - IPMH310G",/produto/147390/placa-mae-pcware-pro-r-2-intel-lga-1151-ddr4-ipmh310g
3,KBM,," 527,97",05/03/24,,"Placa Mãe Integrada Pcware Ipx4020e, Celeron Dual Core N4020 2.8ghz, Ddr4, Hdmi, M.2 2280 - Oem",/produto/400558/placa-mae-integrada-pcware-ipx4020e-celeron-dual-core-n4020-2-8ghz-ddr4-hdmi-m-2-2280-oem
4,KBM,," 369,40",05/03/24,,"Placa-Mãe PCWare Integrada, Intel Celeron Dual Core N4020 2.8GHz, DDR4 SODIMM, HDMI, M.2 2280 - IPX4020E",/produto/355202/placa-mae-pcware-integrada-intel-celeron-dual-core-n4020-2-8ghz-ddr4-sodimm-hdmi-m-2-2280-ipx4020e
5,KBM,," 988,60",05/03/24,,"Placa Mãe Pcware Bravex Ipm-b560, Intel LGA 1200, Matx, DDR4, Chipset B560",/produto/471532/placa-mae-pcware-bravex-ipm-b560-intel-lga-1200-matx-ddr4-chipset-b560
6,KBM,," 508,52",05/03/24,,"Placa-Mãe PCWare A520, AMD AM4, mATX, DDR4, DVI-D, HDMI, D-SUB, M.2 - APM-A520G",/produto/323041/placa-mae-pcware-a520-amd-am4-matx-ddr4-dvi-d-hdmi-d-sub-m-2-apm-a520g
7,KBM,," 669,50",05/03/24,,"Placa Mãe Mini-itx Pcware Ipx4120g, Pro Intel Quad Core",/produto/530930/placa-mae-mini-itx-pcware-ipx4120g-pro-intel-quad-core
8,KBM,," 493,41",05/03/24,,Placa Mãe I3/i5/i7 Pcware Ipmh610g,/produto/504413/placa-mae-i3-i5-i7-pcware-ipmh610g
